,U,delta,r
294,7.665298938751221,1.3556324243545532,7.171631295932457e-05
295,7.665298938751221,1.467504620552063,7.763463509036228e-05
296,7.665298938751221,1.5308853387832642,8.098762918962166e-05
297,7.665298938751221,1.4612404108047485,7.730323704890907e-05
298,7.665298938751221,1.4279346466064453,7.55412838771008e-05
299,7.665298938751221,1.4926345348358154,7.896406896179542e-05
300,7.665298938751221,1.6002345085144043,8.465637802146375e-05
301,7.665298938751221,1.4757750034332275,7.807216024957597e-05
302,7.665298938751221,1.6022228002548218,8.476155926473439e-05
303,7.665298938751221,1.4583067893981934,7.714804814895615e-05
304,7.665298938751221,1.4857538938522339,7.860006735427305e-05
305,7.665298938751221,1.5112494230270386,7.994884072104469e-05
306,7.665298938751221,1.444300889968872,7.640710100531578e-05
307,7.665298938751221,1.324244499206543,7.005581574048847e-05
308,7.665298938751221,1.36782705783844,7.236144301714376e-05
309,7.665298938751221,1.384866714477539,7.326288323383778e-05
310,7.665298938751221,1.541540265083313,8.155130490195006e-05
311,7.665298938751221,1.6214876174926758,8.578071719966829e-05
312,7.665298938751221,1.7618223428726196,9.32047696551308e-05
313,7.665298938751221,1.8278547525405884,9.669804421719164e-05
314,7.665298938751221,1.7937644720077515,9.489458898315206e-05
315,7.665298938751221,1.9359862804412842,0.00010241847485303879
316,7.665298938751221,1.7676490545272827,9.35130228754133e-05
317,7.665298938751221,1.6309796571731567,8.628286741441116e-05
318,7.665298938751221,1.5830111503601074,8.374521712539718e-05
319,7.665298938751221,1.6547927856445312,8.75426412676461e-05
